article_id,article_header,coder,ldi,relevant,start_date,end_date,date_precision,site_name,site_location,site_type,initiator,group_at_site,damage_type
05-2022-13,"Russian Soldiers Are Destroying Ukraine Libraries, History Books: Ombudsman",Comfort Folakemi Oshagbemi,2025-10-25 22:53:35,Yes,,,,"Chernihiv Library for Youth, Donetsk Library for Children, Makariv Public Library and Korolenko State Scientific Library,",,Library,Russia,,"Shelling (artillery fire, bullet)"
02-2023-101,,Comfort Folakemi Oshagbemi,2025-10-25 22:55:38,Yes,03/2022,03/2022,,Kuindzhi Art Museum ,"Mariupol, Ukraine",Museum,Russia,,Airstrike
09-2022-10,Ukraine : Oleksandr Tkachenko became a cultural ambassador in Ukraine's largest charity NFT project META HISTORY museum,Comfort Folakemi Oshagbemi,2025-10-25 22:57:05,No,,,,,,Museum,,,Airstrike
07-2023-449,,Comfort Folakemi Oshagbemi,2025-10-25 22:59:13,Yes,,,,"Spaso-Preobrazhenskyi Cathedral, or the Cathedral of the Transfiguration",Odessa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,"Two people died and 22 others were injured, including four minors aged 11 to 17",Rocket fire
03-2022-45,,Comfort Folakemi Oshagbemi,2025-10-25 23:01:26,Yes,,,A week later,The Church of the Assumption, Bobryk,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,UNKNOWN
07-2023-510,Prosecutor General Calls Talks About Russian Spirituality Lies Following Recent Attack On Odesa,Marvin Nathan,2025-10-27 18:26:20,Yes,07/22/2023,07/22/2023,,Transfiguration Cathedral,Odessa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Ukrainian civilians,Airstrike
02-2024-46,"Ukraine Needs Nearly $9B To Rebuild Its Cultural Sites, Tourism Industry AP",Marvin Nathan,2025-10-27 18:29:38,Yes,07/23/2023,07/23/2023,,Transfiguration Cathedral,Odessa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Ukrainian Civilians,Airstrike
04-2022-43,Damaged history: Unesco warns that war in Ukraine has affected at least 90 cultural sites,Marvin Nathan,2025-10-27 18:31:10,Yes,,,Mid-March,Mariupol Drama Theatre,Mariupol,Opera/theatre,Russian Forces,300 civilians,Airstrike
11-2023-195,,Marvin Nathan,2025-10-27 18:32:29,Yes,11/06/2023,11/06/2023,,Odesa City Centre,Odesa,Other,Russian Forces,Ukrainian Civilians,Airstrike
01-2024-71,Russia launches record 90 drones in Ukraine Putin vows to intensify attacks after border city shelling killed 25,Marvin Nathan,2025-10-27 18:35:10,No,,,,,,Other,,,Airstrike
12-2022-82,Russia will one day answer for its barbarity in Ukraine,Marvin Nathan,2025-10-27 18:35:23,No,,,,,,Other,,,Airstrike
06-2023-74,Cultural sites threatened by flooding from destroyed Kakhovka dam,Marvin Nathan,2025-10-27 18:36:34,Yes,,,Attack occured in 2022,Kherson Art Museum,Kherson,Museum,Russian soldiers ,No specified group,Looting/stealing
07-2023-458,Anger grows in Ukraine's Odesa after Russian bombardment,Marvin Nathan,2025-10-27 18:37:59,Yes,07/22/2023,07/22/2023,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Ukrainian Civilians,Airstrike
07-2023-80,Removing rubble at Transfiguration Cathedral in Odesa,Marvin Nathan,2025-10-27 18:38:45,Yes,07/22/2023,07/22/2023,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Ukrainian civilians,Airstrike
07-2023-545,"UNESCO mission to visit Odesa, assess damage from Russian attacks",Marvin Nathan,2025-10-27 18:40:29,Yes,07/22/2023,07/22/2023,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Ukrainian civilians,Airstrike
07-2023-241,,Marvin Nathan,2025-10-27 18:41:36,Yes,07/22/2023,07/22/2023,,House of Chyzhevych,Odesa,Museum,Russian Forces,Ukrainian Civilians,Airstrike
11-2022-146,,Marvin Nathan,2025-10-27 18:42:50,Yes,,,November 2022,Kherson Art Museum,Kherson,Museum,Russian Forces,no specified group,Looting/stealing
07-2024-132,"Restoration Of A Non-residential Building (historical Monument Of Local Importance) Located At 96 Zhilyanska St. In The Holosiivskyi District Of Kyiv, Damaged As A Result Of The Military Aggression Of",Marvin Nathan,2025-10-27 18:43:54,No,,,November 2022,,,Museum,,,Looting/stealing
07-2023-1,,Marvin Nathan,2025-10-27 18:44:03,No,,,November 2022,,,Museum,,,Looting/stealing
04-2022-23,"Ukraine accuses Russian forces of seizing 2,000 artworks in Mariupol",Marvin Nathan,2025-10-27 18:46:32,Yes,,,2022,Ivankiv museum,Kyiv,Museum,Russian Forces,no specified group,"Shelling (artillery fire, bullet)"
04-2022-11,,Marvin Nathan,2025-10-27 18:49:00,Yes,,,2022,Holocaust Memorial,Kharkiv,Memorial,Russian forces,No specified group,Airstrike
11-2023-199,Aftermath Of Russian Attack On Odesa,Marvin Nathan,2025-10-27 18:51:03,Yes,11/06/2023,11/06/2023,,Odesa Museum,Odesa,Museum,Russian Forces,,Airstrike
07-2023-402,,Marvin Nathan,2025-10-27 18:52:48,Yes,07/22/2023,07/22/2023,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Ukrainian Civilians,Airstrike
06-2024-68,"EFE International's Topics of the Day for Thursday, July 27th (24:00 GMT)",Marvin Nathan,2025-10-27 18:53:34,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
10-2023-52,British Ambassador visits Chernihiv to see recovery after Russian occupation,Marvin Nathan,2025-10-27 18:54:59,Yes,08/19/2023,08/19/2023,,local musical and drama theatre,Cherniv,Opera/theatre,Russian Forces,Ukrainian civilians,Airstrike
11-2023-87,,Marvin Nathan,2025-10-27 18:56:15,No,,,,,,Opera/theatre,,,Airstrike
05-2022-21,,Marvin Nathan,2025-10-27 18:58:04,Yes,,,2022,"Chernihiv Library for Youth, Donetsk Library for Children, Makariv Public Library and Korolenko State Scientific Library",Multiples cities,Library,Russian forces,Ukrainian civilians,"Shelling (artillery fire, bullet)"
03-2022-52,There are seven World Heritage Sites in Ukraine. Many others also require protection,Marvin Nathan,2025-10-27 19:00:08,No,,,,,,Library,,,"Shelling (artillery fire, bullet)"
08-2023-113,Three killed in air strikes on western Ukraine,Marvin Nathan,2025-10-27 19:03:32,No,,,,,,Library,,,"Shelling (artillery fire, bullet)"
09-2024-100,"Russia kills at least 7, including 3 children, in overnight attack on Lviv",Marvin Nathan,2025-10-27 19:05:38,Yes,,,Septermber 2024,Lviv Centre,Lviv,Other,Russian Forces,Ukrainian Civilians,Airstrike
10-2022-168,Joins BBC News - 02:31 AM GMT,Marvin Nathan,2025-10-27 19:10:25,Yes,,,October 2022,Kharkiv City Centre,Kharkiv,Other,Russian Forces,Ukrainian Civilians,Airstrike
11-2022-194,"EFE International Topics of the Day November 23, 2022 (10.00 GMT)",Marvin Nathan,2025-10-27 19:15:08,Yes,,,November 2022,Kherson Arts Museum,Kherson,Museum,Russian Forces,Ukrainian Civilians,Looting/stealing
11-2023-84,,Marvin Nathan,2025-10-27 19:16:18,Yes,11/06/2023,11/06/2023,,Odesa Museum,Odesa,Museum,Russian Forces,Ukrainian Civilians,Airstrike
10-2022-49,Ukraine's Zelensky Urges UNESCO Cultural Protection For Odessa,Marvin Nathan,2025-10-27 19:18:04,No,,,,,,Museum,,,Airstrike
04-2022-195,,Marvin Nathan,2025-10-27 19:18:13,No,,,,,,Museum,,,Airstrike
01-2024-8,Shukhevych Museum in Lviv after Russian drone attack,Marvin Nathan,2025-10-27 19:22:05,Yes,,,2024,Shukhevych Museum,Lviv,Museum,Russian Forces,No specified group,Airstrike
12-2022-52,,Marvin Nathan,2025-10-27 19:22:27,No,,,"
",,,Museum,,,Airstrike
07-2023-172,,Marvin Nathan,2025-10-27 19:23:52,Yes,07/22/2023,07/22/2023,"
",Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Ukrainian Civilians,Airstrike
11-2024-32,"Almost 1,200 cultural heritage objects affected by Russian aggression against Ukraine - Culture Ministry",Marvin Nathan,2025-10-27 19:25:56,No,,,"
",,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
07-2023-352,"Despite any attempts to break our state and our people, we know that Ukraine has a future - address by President Volodymyr Zelenskyy",Marvin Nathan,2025-10-27 19:27:10,Yes,07/22/2023,07/22/2023,"
",Spaso-Preobrazhensky Cathedral ,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Ukrainian Civilians,Airstrike
06-2022-10,,Marvin Nathan,2025-10-27 19:27:23,No,,,"
",,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
12-2022-151,,Marvin Nathan,2025-10-27 19:29:13,Yes,,,"November 2022
",Oleksii Shovkunenko Kherson Art Museum,Kherson ,Museum,Russian Forces,no specified group,Looting/stealing
07-2024-25,Bomb blasts and bee hives - surviving in Ukraine; Book of the week Two writers capture the horror of life under attack (plus the odd defiant raccoon).,Marvin Nathan,2025-10-27 19:44:55,No,,,,,,Museum,,,Looting/stealing
06-2022-7,,Marvin Nathan,2025-10-27 19:45:07,No,,,,,,Museum,,,Looting/stealing
02-2024-37,Czech exhibition presents disappeared art of southern Ukraine,Marvin Nathan,2025-10-27 19:45:23,No,,,,,,Museum,,,Looting/stealing
11-2023-102,UN condemns Russian attack on civilian ship in the Black Sea prior to its arrival in Odessa,Marvin Nathan,2025-10-27 19:46:43,Yes,,,2023,Odessa Art Museum,Odesa,Museum,Russian Forces,Ukrainian Civilians ,Airstrike
06-2024-14,,Marvin Nathan,2025-10-27 19:48:42,No,,,2023,,,Museum,,,Airstrike
10-2022-5,,Marvin Nathan,2025-10-27 19:52:42,Yes,,,2022,Melitopol Museum,Melitopol,Museum,Russian Forces,Ukrainian Civilians,Looting/stealing
03-2022-41,UNESCO fears Ukraine harm as Russian culture backlash grows,Marvin Nathan,2025-10-27 19:56:15,No,,,,,,Museum,,,Looting/stealing
08-2024-49,,Marvin Nathan,2025-10-27 19:57:10,Yes,,,2024, Kherson Regional Museum,Kherson,Museum,Russian forces,no specified group,Looting/stealing
09-2024-122,,Marvin Nathan,2025-10-27 20:00:35,Yes,,,September 2024,Novi Svit City Centre,Novi Svit,Other,Russian Forces,Ukrainian Civilians,Airstrike
02-2024-48,,Marvin Nathan,2025-10-27 20:01:57,Yes,,,July 2023,Odesa City Centre,Odesa,Other,Russian Forces,Ukrainian Civilians,Airstrike
07-2023-140,,Marvin Nathan,2025-10-27 20:02:26,No,,,,,,Other,,,Airstrike
07-2023-140,,Marvin Nathan,2025-10-27 20:02:26,No,,,,,,Other,,,Airstrike
07-2023-140,,Marvin Nathan,2025-10-27 20:02:27,No,,,,,,Other,,,Airstrike
08-2023-211,,Marvin Nathan,2025-10-27 20:06:02,Yes,,,July 2023,Downtown Odesa,Odesa,Other,Russian Forces,Ukrainian Civilians,Airstrike
07-2023-213,,Marvin Nathan,2025-10-27 20:06:48,Yes,07/23/2023,07/23/2023,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,Russian Forces,Airstrike
03-2022-49,,Marvin Nathan,2025-10-27 20:08:02,Yes,,,2022,Maria Prymachenko Museum,,Museum,Russian Forces,No specified group,"Shelling (artillery fire, bullet)"
07-2023-330,MY MISSILES TERROR..; RUSSIAN ROCKETS RAIN DOWN ON UKRAINIAN PORT OF ODESA ?? Irish aid worker ate in restaurant that was struck just hours later ?? Cathedral blasted injuring four children,Marvin Nathan,2025-10-27 20:08:25,No,,,2022,,,Museum,,,"Shelling (artillery fire, bullet)"
09-2022-146,Ravages of 'new Hitler' war,Marvin Nathan,2025-10-27 20:09:31,Yes,,,,House of Culture ,Ivankivka,House of culture/culture house,Russian Forces,No specified group,Airstrike
03-2022-258,,Marvin Nathan,2025-10-27 20:09:49,No,,,,,,House of culture/culture house,,,Airstrike
11-2022-174,Ukraine war: Three residential buildings hit in missile attack on Kyiv,Marvin Nathan,2025-10-27 20:10:00,No,,,,,,House of culture/culture house,,,Airstrike
03-2022-292,,Marvin Nathan,2025-10-27 20:11:16,Yes,,,2022,Mariupol Drama Theatre,Mariupol,Opera/theatre,Russian Forces,Ukrainian Civilians,Airstrike
07-2023-167,Kyiv accuses Moscow of targeting UNESCO cathedral,Comfort Folakemi Oshagbemi,2025-11-11 19:27:19,Yes,,,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,Airstrike
02-2023-49,,Comfort Folakemi Oshagbemi,2025-11-11 19:28:11,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
10-2022-291,,Comfort Folakemi Oshagbemi,2025-11-11 19:28:22,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
04-2022-179,,Comfort Folakemi Oshagbemi,2025-11-11 19:52:08,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
07-2023-403,Angry Russia refuses to speak at UN meeting on its attacks on Ukraine's key port city of Odesa.,Comfort Folakemi Oshagbemi,2025-11-11 20:05:46,Yes,,,Sunday,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,Rocket fire
07-2023-404,,Comfort Folakemi Oshagbemi,2025-11-11 20:12:18,Yes,,,Sunday,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,Rocket fire
03-2022-224,Cancellation and destruction of heritage: how war impacts culture,Comfort Folakemi Oshagbemi,2025-11-11 20:16:57,Yes,03/02/2022,03/02/2022,Sunday,Museum of Local and Historical History,Ivankiv,Museum,Russian forces,,"Explosion (bomb, explosive detonation)"
07-2023-349,ICCROM calls for halt to attacks on cultural heritage in Ukraine,Comfort Folakemi Oshagbemi,2025-11-11 20:17:15,No,,,Sunday,,,Museum,,,"Explosion (bomb, explosive detonation)"
10-2023-21,Ukraine : Joint Ukrainian-Italian Communique on the occasion of the visit of the Vice Chairman of the Council of Ministers and Minister of Foreign Affairs and International Cooperation of the Italian Republic Antonio Tajani,Comfort Folakemi Oshagbemi,2025-11-11 20:22:27,No,,,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,UNKNOWN
07-2023-209,July 23 Russian missile attack on Odesa,Comfort Folakemi Oshagbemi,2025-11-11 20:25:45,Yes,07/23/2023,07/23/2032,Sunday night,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian troops,,Rocket fire
07-2023-521,Prosecutor General calls talks about Russian spirituality lies following recent attack on Odesa,Comfort Folakemi Oshagbemi,2025-11-11 20:26:03,No,,,Sunday night,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Rocket fire
04-2023-109,"Russia-Ukraine war, LIVE: dramatic video shared by Volodimir Zelenski of Russian attack on historic Kharkiv museum",Comfort Folakemi Oshagbemi,2025-11-11 20:27:11,Yes,04/25/2023,04/25/2023,Sunday night,Unnamed Kharkov local history museum,Kharkov,Museum,Russiam forces,civilians,Airstrike
07-2023-242,,Comfort Folakemi Oshagbemi,2025-11-11 20:46:33,Yes,07/23/23,07/23/23,Sunday night,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,"22 people injured, including four children",Rocket fire
11-2023-117,,Comfort Folakemi Oshagbemi,2025-11-11 20:48:51,No,,,Sunday night,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Rocket fire
03-2022-429,,Comfort Folakemi Oshagbemi,2025-11-11 20:53:41,No,,,Sunday night,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Rocket fire
04-2022-134,,Comfort Folakemi Oshagbemi,2025-11-11 20:55:28,Yes,02/24/2022,04/01/2022,Sunday night,"Ivankiv museum, the Orthodox church of Kamaianka, St. Tikhon in Zadonsky,  church of St. Nicholas in Myrlikiysky, the chapel of the martyr Tatiana, and the church of the Transfiguration.","Kiev, Izium, Zaporiyia region, and Myrlikiysky",Other,Russian forces,,UNKNOWN
12-2024-81,,Comfort Folakemi Oshagbemi,2025-11-11 21:00:01,Yes,,,,,,Other,Russia,,UNKNOWN
03-2022-94,,Comfort Folakemi Oshagbemi,2025-11-11 21:03:16,Yes,,,End of February,Museum in Ivankiv,Ivankiv,Museum,,,UNKNOWN
07-2023-436,"""A war crime that will never be forgotten"": Ukraine accuses Russia of destroying Odessa cathedral",Comfort Folakemi Oshagbemi,2025-11-11 21:10:00,Yes,,,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,"one dead, 22 wounded, including four children",Rocket fire
07-2023-285,,Comfort Folakemi Oshagbemi,2025-11-11 21:10:55,Yes,07/17/2023,07/21/2023,,"Odesa Archaeological Museum, the Odesa Maritime Museum, and the Odesa Literature Museum",Odesa,Museum,Russian forces,,Airstrike
03-2022-450,,Comfort Folakemi Oshagbemi,2025-11-11 21:13:48,No,,,,,,Museum,,,Airstrike
06-2024-58,,Comfort Folakemi Oshagbemi,2025-11-11 21:16:08,No,,,,,,Museum,,,Airstrike
07-2023-428,,Comfort Folakemi Oshagbemi,2025-11-11 21:16:30,No,,,,,,Museum,,,Airstrike
05-2022-93,,Comfort Folakemi Oshagbemi,2025-11-11 21:24:13,No,,,,,,Museum,,,Airstrike
08-2023-167,Russia pushes up grain prices with port attacks,Comfort Folakemi Oshagbemi,2025-11-11 21:25:13,No,,,,,,Museum,,,Airstrike
09-2023-6,,Comfort Folakemi Oshagbemi,2025-11-11 21:26:24,No,,,,,,Museum,,,Airstrike
01-2023-146,,Comfort Folakemi Oshagbemi,2025-11-11 21:37:11,No,,,,,,Museum,,,Airstrike
11-2023-153,Aftermath Of Russian Attack On Odesa,Comfort Folakemi Oshagbemi,2025-11-11 21:37:22,Yes,11/06/2023,11/06/2023,,Odesa National Fine Arts Museum,Odesa,Museum,Russian forces,,Airstrike
11-2022-129,4 lion cubs saved from war in Ukraine arrive at US sanctuary,Comfort Folakemi Oshagbemi,2025-11-11 21:38:13,No,,,,,,Museum,,,Airstrike
04-2022-207,,Comfort Folakemi Oshagbemi,2025-11-12 19:22:06,Yes,,,,"Zaporizhia Museum of Local Lore, Zaporizhia Art Museum.",Zaporizhia,UNKNOWN,Invaders,,Looting/stealing
01-2023-197,,Comfort Folakemi Oshagbemi,2025-11-12 19:26:11,Yes,,,," Vorontsov Palace on Prymorskyi Boulevard,",Odesa,Monument,,,Rocket fire
08-2023-11,,Comfort Folakemi Oshagbemi,2025-11-12 19:30:51,Yes,,,,St. Catherine's Cathedral,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,"Four emergency services workers, four civilians","Shelling (artillery fire, bullet)"
04-2023-99,Ukraine conducting raids to dislodge Russian soldiers ahead of expected offensive,Comfort Folakemi Oshagbemi,2025-11-12 19:32:58,Yes,,,Yesterday,museum,Kupiansk,Museum,Russian Troops,12 civillians,Rocket fire
03-2022-903,"The Plight Of Ukrainian Refugees In Moldova; The Efforts To Help An Endangered Subspecies Of Tiger; An ""Airbnb"" For Dogs. Aired 4-4:10a ET",Comfort Folakemi Oshagbemi,2025-11-12 19:35:13,Yes,,,,Ukrainian orthodox church,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,UNKNOWN
03-2022-71,"Putin's bombs and missiles rain down, but he will never destroy Ukraine's culture",Comfort Folakemi Oshagbemi,2025-11-12 19:41:23,Yes,,,,Maria Pryimachenko museum,Ivankov,Museum,Russia,,"Explosion (bomb, explosive detonation)"
04-2023-174,Russia missile attack on Ukrainian city kills one: officials,Comfort Folakemi Oshagbemi,2025-11-12 19:42:57,Yes,04/26/2023,04/05/2023,,,Kupiansk,Museum,Russian forces,,Rocket fire
06-2024-34,"More than 400 heritage properties damaged in Ukraine, says Unesco",Comfort Folakemi Oshagbemi,2025-11-12 19:43:35,Yes,,,,,,Museum,Russia,,UNKNOWN
07-2023-76,Russians attack Transfiguration Cathedral in Odesa,Comfort Folakemi Oshagbemi,2025-11-12 19:44:40,Yes,07/23/2023,07/23/2023,, Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,23 Civillians,Rocket fire
07-2022-74,,Comfort Folakemi Oshagbemi,2025-11-12 19:45:16,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Rocket fire
08-2023-159,"Ukraine : In Odesa, President viewed the damage to Spaso-Preobrazhensky Cathedral caused by Russian terrorist shelling",Comfort Folakemi Oshagbemi,2025-11-12 19:46:12,Yes,07/23/2023,07/23/2023,,Spaso-Preobrazhensky Cathedral ,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,Rocket fire
04-2023-172,,Comfort Folakemi Oshagbemi,2025-11-12 19:48:15,Yes,04/25/2023,04/25/2023,,Unnamed local history museum in Kupyansk,Kupyansk,Museum,Russian forces,8 civilians,"Shelling (artillery fire, bullet)"
10-2022-7,"Industrial-scale destruction of Ukraine culture is a war crime, say officials",Comfort Folakemi Oshagbemi,2025-11-12 19:48:25,No,,,,,,Museum,,,"Shelling (artillery fire, bullet)"
07-2023-474,,Comfort Folakemi Oshagbemi,2025-11-12 19:49:54,Yes,,,, Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
09-2024-117,"Russian air attack kills seven, including three children, in Ukraine's Lviv, mayor says",Comfort Folakemi Oshagbemi,2025-11-12 19:50:30,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
09-2024-38,Russian attack on Lviv: at least 7 architectural monuments damaged - photos,Comfort Folakemi Oshagbemi,2025-11-12 19:53:33,Yes,,,Night of September 3-4, Lviv Oblast Centre for Sports Medicine and Rehabilitation,"Konovaltsia Street, Lviv",Monument,Russia,45 civilians,UNKNOWN
03-2022-241,,Comfort Folakemi Oshagbemi,2025-11-12 19:55:13,Yes,,,,"Kyiv's Historical and Local History Museum,",Kyiv,Museum,Russia,5 civilians,Other
07-2023-71,,Comfort Folakemi Oshagbemi,2025-11-12 19:56:30,Yes,07/23/2023,07/23/2023,Sunday night,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian troops,23 civilians,Other
04-2023-140,"Zelensky meets with UNESCO Director General, receives certificate on Odesa",Comfort Folakemi Oshagbemi,2025-11-12 19:57:04,No,,,Sunday night,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Other
08-2023-34,Due To War In Ukraine 763 Cultural Heritage Sites Damaged,Comfort Folakemi Oshagbemi,2025-11-12 19:57:34,Yes,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,UNKNOWN
04-2022-5,"In Photos: Here Are The Ukrainian Cultural Sites Damaged Amid Russian Invasion -- Department Press Briefing – April 18, 2022",Comfort Folakemi Oshagbemi,2025-11-12 19:58:13,Yes,",,,",",,,",,"The Drobitsky Yar Holocaust Memorial, the Ivankiv Historical and Local History Museum, and St. Archangel Michael Church in Mariupol,The Drobitsky Yar Holocaust Memorial, the Ivankiv Historical and Local History Museum, and St. Archangel Michael Church in Mariupol,The Drobitsky Yar Holocaust Memorial, the Ivankiv Historical and Local History Museum, and St. Archangel Michael Church in Mariupol,The Drobitsky Yar Holocaust Memorial, the Ivankiv Historical and Local History Museum, and St. Archangel Michael Church in Mariupol","Kharkiv, outside of Kyiv, and Mariupol,Kharkiv, outside of Kyiv, and Mariupol,Kharkiv, outside of Kyiv, and Mariupol,Kharkiv, outside of Kyiv, and Mariupol",Other,"Russian forces,Russian forces,Russian forces,Russian forces",",,,",Other
07-2023-304,"LATEST IN UKRAINE: RUSSIA SAYS UKRAINIAN DRONES ATTACK MOSCOW, CRIMEA",Comfort Folakemi Oshagbemi,2025-11-12 19:59:30,Yes,,,,Spaso-Preobrazhensky Cathedral,Odesa,Other,Russia,,Other
09-2022-3,War on the destruction of Ukraine's cultural heritage,Comfort Folakemi Oshagbemi,2025-11-13 20:23:42,No,,,,,,Other,,,Other
07-2023-265,The Russian attack on the Transfiguration Cathedral in Ukraine strikes at the heart of the civilian community: UK statement at the Security Council,Comfort Folakemi Oshagbemi,2025-11-13 20:25:05,Yes,,,, TRANSFIGURATION CATHEDRAL,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,dozens of civilians,UNKNOWN
07-2023-518,About Uah 10M Needed To Preserve Skovoroda Museum Destroyed By Russians,Comfort Folakemi Oshagbemi,2025-11-13 20:27:20,Yes,05/07/2022,05/07/2022,,National Literary and Memorial Museum of Skovoroda,Village of Skovorodynivka in Kharkiv region,Other,Russian forces,,Airstrike
01-2024-97,Russians destroy Roman Shukhevych Museum in Lviv,Comfort Folakemi Oshagbemi,2025-11-13 20:27:33,Yes,01/01/2024,01/01/2024,,Roman Shukhevych Museum,Lviv,Museum,Russia,,Fire
12-2022-100,In Phоtоs: The Ukrainian Cultural Sites Destrоyed During Russia's Invasiоn,Comfort Folakemi Oshagbemi,2025-11-13 20:28:24,Yes,,,,,,Other,Russia,,UNKNOWN
11-2023-166,Aftermath Of Russian Attack On Odesa,Comfort Folakemi Oshagbemi,2025-11-13 20:29:19,No,,,,,,UNKNOWN,,,UNKNOWN
01-2023-274,On the inclusion of the historical center of Odessa in the UNESCO World Heritage List in Danger,Comfort Folakemi Oshagbemi,2025-11-13 20:34:47,No,,,,,,UNKNOWN,,,UNKNOWN
03-2022-168,Breakfast - 09:06 AM GMT,Comfort Folakemi Oshagbemi,2025-11-13 20:35:03,No,,,,,,UNKNOWN,,,UNKNOWN
11-2023-98,Ukrainian cultural heritage must be preserved: UK statement to the OSCE,Comfort Folakemi Oshagbemi,2025-11-13 20:37:47,No,,,,,,UNKNOWN,,,UNKNOWN
08-2023-50,Russian shells hit landmark church; War in Ukraine,Comfort Folakemi Oshagbemi,2025-11-13 20:49:06,Yes,10/27/2023,10/27/2023,, St Catherine's Cathedral,Kherson,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian,,"Shelling (artillery fire, bullet)"
07-2023-399,"UN strongly condemns Russian strikes in Odesa, Ukraine",Comfort Folakemi Oshagbemi,2025-11-13 20:52:05,Yes,,,,,Odesa,Other,Russia,,Other
07-2023-154,Russian Strikes Damage Orthodox Cathedral - Odesa,Comfort Folakemi Oshagbemi,2025-11-13 20:52:58,Yes,07/23/2023,07/23/2023,,ORTHODOX CATHEDRAL,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,UNKNOWN
07-2023-445,Latest in Ukraine: Russia Strikes UNESCO World Heritage Site in Odesa,Comfort Folakemi Oshagbemi,2025-11-13 20:58:25,Yes,,,Early Sunday,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,Airstrike
10-2022-106,,Comfort Folakemi Oshagbemi,2025-11-13 20:58:39,No,,,Early Sunday,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
03-2022-111,,Comfort Folakemi Oshagbemi,2025-11-13 21:00:58,Yes,,,February,Ivankiv Historical and Local History Museum in Ivankiv,Kyiv,Museum,Russia,,Fire
03-2022-111,,Comfort Folakemi Oshagbemi,2025-11-13 21:01:15,Yes,,,February,Ivankiv Historical and Local History Museum in Ivankiv,Kyiv,Museum,Russia,,Fire
